Sample ID,Transect,Altitude,lat,lon,15N,13C
P3-058-sec,Santiago,638,"-31,46861","-71,10183","3,86","-26,02"
P3-059-hum,Santiago,638,"-31,46861","-71,10183","5,52","-26,62"
P4-060-sec,Santiago,1023,"-31,26838","-71,06716","1,66","-25,49"
P4-061-hum,Santiago,1023,"-31,26838","-71,06716","4,16","-25,76"
P5-062-sec,Santiago,14,"-32,23045","-71,5216","6,86","-26,19"
P6-064-sec,Santiago,15,"-32,2212","-71,5242","7,51","-25,4"
P7-066-sec,Santiago,900,"-31,5614","-70,87532","5,12","-26,23"
P7-067-hum,Santiago,900,"-31,5614","-70,87532","6,13","-25,93"
P8-068-sec,Santiago,686,"-30,98022","-71,0612","2,56","-24,54"
P8-069.hum,Santiago,686,"-30,98022","-71,0612","4,16","-25,76"
P9-070-sec,Santiago,445,"-30,71162","-71,177","5,09","-25,38"
P9-071-hum,Santiago,445,"-30,71162","-71,177","6,32","-25,1"
P10-072-sec,Santiago,668,"-30,88676","-71,1931","3,06","-25,84"
P10-073-hum,Santiago,668,"-30,88676","-71,1931","5,08","-25,3"
