Transect,Pt,Especie,Altitude,lat,lon,15N,13C
Atacama,TLT07,Parastrephia quadrangularis,3870,"-23,38819","-67,80757","2,857666342","-22,68001547"
Atacama,TLT08,Parastrephia quadrangularis,3870,"-23,32856","-67,7989","5,355170911","-24,18403496"
Atacama,TLT06,Parastrephia quadrangularis,3970,"-23,40508","-67,79452","5,608760574","-13,68737574"
Atacama,TLT05,Parastrephia quadrangularis,4072,"-23,41518","-67,78575","5,773442307","-25,0309681"
Atacama,TLT04,Parastrephia quadrangularis,4174,"-23,42283","-67,78008","2,385848124","-23,29873899"
Atacama,TLT03,Parastrephia quadrangularis,4270,"-23,4323","-67,77125","2,914244115","-23,99123717"
Atacama,TLT02,Parastrephia quadrangularis,4370,"-23,45127","-67,77322","4,779290003","-24,06796282"
Atacama,TLT02,Jarava frigida,4370,"-23,45127","-67,77322","-0,6",-25
Atacama,TLT02,Jarava frigida,4370,"-23,45127","-67,77322","3,9","-25,1"
Atacama,TLT03,Jarava frigida,4270,"-23,4323","-67,77125","3,5",-27
Atacama,TLT04,Jarava frigida,4174,"-23,42283","-67,78008","-0,3",-25
Atacama,TLT05,Jarava frigida,4072,"-23,41518","-67,78575",-1,-25
Atacama,TLT05,Jarava frigida,4072,"-23,41518","-67,78575","0,3","-22,8"
Atacama,TLT06,Jarava frigida,3970,"-23,40508","-67,79452","-1,2","-22,2"
Atacama,TLT06,Jarava frigida,3970,"-23,40508","-67,79452","5,5","-26,6"
Atacama,TLT07,Jarava frigida,3870,"-23,38819","-67,80757","2,8","-24,1"
Atacama,TLT07,Jarava frigida,3870,"-23,38819","-67,80757",-2,"-23,8"
Atacama,TLT07,Maihueniopsis camachoi,3870,"-23,38819","-67,80757","7,5","-16,3"
Atacama,TLT07,Maihueniopsis camachoi,3870,"-23,38819","-67,80757","6,4","-12,9"
Atacama,TLT08,Maihueniopsis camachoi,3870,"-23,32856","-67,7989","6,7","-13,1"
Atacama,TLT10,Maihueniopsis camachoi,3670,"-23,32268","-67,8318","5,6","-12,9"
Atacama,TLT10,Maihueniopsis camachoi,3670,"-23,32268","-67,8318","7,4","-12,5"
Atacama,TLT12,Maihueniopsis camachoi,3470,"-23,31766","-67,86342","6,7","-12,1"
Atacama,TLT13,Maihueniopsis camachoi,3370,"-23,31377","-67,87685","5,4","-11,8"
